Model,DPO3034
Firmware Version,2.07

Point Format,Y
Horizontal Units,S
Horizontal Scale,200
Sample Interval,0.2
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
-9.528e+02,4.0775
-9.526e+02,4.07812
-9.524e+02,4.07812
-9.522e+02,4.07812
-9.520e+02,4.07781
-9.518e+02,4.07781
-9.516e+02,4.07812
-9.514e+02,4.07688
-9.512e+02,4.075
-9.510e+02,4.07469
-9.508e+02,4.07563
-9.506e+02,4.07531
-9.504e+02,4.075
-9.502e+02,4.07469
-9.500e+02,4.075
-9.498e+02,4.07469
-9.496e+02,4.07375
-9.494e+02,4.07375
-9.492e+02,4.07344
-9.490e+02,4.07125
-9.488e+02,4.07125
-9.486e+02,4.07219
-9.484e+02,4.07125
-9.482e+02,4.07094
-9.480e+02,4.07062
-9.478e+02,4.07125
-9.476e+02,4.07125
-9.474e+02,4.07
-9.472e+02,4.07031
-9.470e+02,4.07
-9.468e+02,4.07031
-9.466e+02,4.07125
-9.464e+02,4.07156
-9.462e+02,4.07156
-9.460e+02,4.07125
-9.458e+02,4.07094
-9.456e+02,4.07062
-9.454e+02,4.07031
-9.452e+02,4.07
-9.450e+02,4.07062
-9.448e+02,4.06969
-9.446e+02,4.06937
-9.444e+02,4.06844
-9.442e+02,4.06875
-9.440e+02,4.06906
-9.438e+02,4.0675
-9.436e+02,4.06719
-9.434e+02,4.06781
-9.432e+02,4.06844
-9.430e+02,4.06688
-9.428e+02,4.06688
-9.426e+02,4.06719
-9.424e+02,4.06719
-9.422e+02,4.06813
-9.420e+02,4.06781
-9.418e+02,4.06688
-9.416e+02,4.06719
-9.414e+02,4.06719
-9.412e+02,4.06625
-9.410e+02,4.06625
-9.408e+02,4.06688
-9.406e+02,4.0675
-9.404e+02,4.06719
-9.402e+02,4.06688
-9.400e+02,4.06562
-9.398e+02,4.065
-9.396e+02,4.06469
-9.394e+02,4.06562
-9.392e+02,4.06625
-9.390e+02,4.06625
-9.388e+02,4.06531
-9.386e+02,4.06562
-9.384e+02,4.06531
-9.382e+02,4.065
-9.380e+02,4.06562
-9.378e+02,4.065
-9.376e+02,4.065
-9.374e+02,4.06531
-9.372e+02,4.06562
-9.370e+02,4.06469
-9.368e+02,4.06562
-9.366e+02,4.06344
-9.364e+02,4.065
-9.362e+02,4.06531
-9.360e+02,4.06406
-9.358e+02,4.06469
-9.356e+02,4.06469
-9.354e+02,4.06313
-9.352e+02,4.06281
-9.350e+02,4.06187
-9.348e+02,4.06219
-9.346e+02,4.06094
-9.344e+02,4.06187
-9.342e+02,4.06219
-9.340e+02,4.06156
-9.338e+02,4.06187
-9.336e+02,4.06187
-9.334e+02,4.06
-9.332e+02,4.06062
-9.330e+02,4.05969
-9.328e+02,4.05938
-9.326e+02,4.05906
-9.324e+02,4.05938
-9.322e+02,4.05906
-9.320e+02,4.05844
-9.318e+02,4.05875
-9.316e+02,4.05844
-9.314e+02,4.05906
-9.312e+02,4.05781
-9.310e+02,4.0575
-9.308e+02,4.05719
-9.306e+02,4.05719
-9.304e+02,4.05656
-9.302e+02,4.05813
-9.300e+02,4.05719
-9.298e+02,4.0575
-9.296e+02,4.05781
-9.294e+02,4.05844
-9.292e+02,4.05781
-9.290e+02,4.05719
-9.288e+02,4.05687
-9.286e+02,4.05719
-9.284e+02,4.05813
-9.282e+02,4.05781
-9.280e+02,4.0575
-9.278e+02,4.0575
-9.276e+02,4.05813
-9.274e+02,4.0575
-9.272e+02,4.05687
-9.270e+02,4.05687
-9.268e+02,4.05625
-9.266e+02,4.05625
-9.264e+02,4.05531
-9.262e+02,4.05563
-9.260e+02,4.05625
-9.258e+02,4.05687
-9.256e+02,4.05656
-9.254e+02,4.05687
-9.252e+02,4.05563
-9.250e+02,4.05531
-9.248e+02,4.05531
-9.246e+02,4.05406
-9.244e+02,4.05531
-9.242e+02,4.05375
-9.240e+02,4.05375
-9.238e+02,4.05312
-9.236e+02,4.05344
-9.234e+02,4.05406
-9.232e+02,4.05344
-9.230e+02,4.05469
-9.228e+02,4.05531
-9.226e+02,4.05438
-9.224e+02,4.05312
-9.222e+02,4.05312
-9.220e+02,4.05312
-9.218e+02,4.05281
-9.216e+02,4.05375
-9.214e+02,4.05281
-9.212e+02,4.0525
-9.210e+02,4.05281
-9.208e+02,4.05156
-9.206e+02,4.05219
-9.204e+02,4.05156
-9.202e+02,4.05
-9.200e+02,4.05031
-9.198e+02,4.05125
-9.196e+02,4.05
-9.194e+02,4.04938
-9.192e+02,4.04938
-9.190e+02,4.04938
-9.188e+02,4.04906
-9.186e+02,4.05
-9.184e+02,4.05
-9.182e+02,4.04906
-9.180e+02,4.04938
-9.178e+02,4.04875
-9.176e+02,4.05031
-9.174e+02,4.04969
-9.172e+02,4.05125
-9.170e+02,4.05
-9.168e+02,4.04969
-9.166e+02,4.04969
-9.164e+02,4.04906
-9.162e+02,4.04844
-9.160e+02,4.04844
-9.158e+02,4.04812
-9.156e+02,4.04688
-9.154e+02,4.04719
-9.152e+02,4.04719
-9.150e+02,4.04656
-9.148e+02,4.04656
-9.146e+02,4.04719
-9.144e+02,4.04688
-9.142e+02,4.04656
-9.140e+02,4.04625
-9.138e+02,4.045
-9.136e+02,4.04625
-9.134e+02,4.04656
-9.132e+02,4.04688
-9.130e+02,4.04656
-9.128e+02,4.04656
-9.126e+02,4.04688
-9.124e+02,4.04656
-9.122e+02,4.04656
-9.120e+02,4.04688
-9.118e+02,4.04719
-9.116e+02,4.04719
-9.114e+02,4.04688
-9.112e+02,4.04563
-9.110e+02,4.04563
-9.108e+02,4.04594
-9.106e+02,4.04406
-9.104e+02,4.04469
-9.102e+02,4.04563
-9.100e+02,4.04406
-9.098e+02,4.04438
-9.096e+02,4.04438
